,Target
170850,1
56320,0
74582,0
139297,1
122534,0
195723,1
175476,1
198075,1
49531,0
135639,1
199812,1
227733,1
96845,0
238600,1
72464,0
140910,1
77916,0
236640,1
181182,1
198325,1
86824,0
247247,1
55197,0
66884,0
184775,1
18968,0
237600,1
14186,0
20422,0
171961,1
146904,1
103535,0
83795,0
248822,1
2705,0
147002,1
12715,0
93005,0
36394,0
238382,1
542,0
8418,0
168703,1
141912,1
110013,0
206844,1
16071,0
128055,1
97334,0
57107,0
168558,1
237753,1
242845,1
238156,1
41816,0
239376,1
215565,1
84800,0
22071,0
139296,1
78335,0
24700,0
110331,0
186651,1
38274,0
180057,1
219208,1
84248,0
93075,0
162226,1
48901,0
122497,0
116699,0
67138,0
237076,1
198129,1
145781,1
187552,1
225368,1
238805,1
25260,0
19086,0
59372,0
129234,1
25770,0
253519,1
144492,1
122780,0
104841,0
225736,1
13968,0
156424,1
171285,1
85886,0
25378,0
58332,0
16012,0
85417,0
235018,1
222847,1
155648,1
116750,0
189455,1
74337,0
243855,1
183674,1
20835,0
40117,0
225541,1
41535,0
200039,1
66899,0
233425,1
81735,0
98940,0
12053,0
50418,0
241313,1
127875,1
173627,1
150363,1
25225,0
127177,0
74562,0
95632,0
19598,0
79555,0
89717,0
40816,0
106916,0
51557,0
84047,0
174560,1
871,0
6508,0
145828,1
174775,1
195375,1
202332,1
180137,1
29543,0
66286,0
131327,1
94260,0
208015,1
203759,1
132106,1
78181,0
20890,0
230088,1
247167,1
184969,1
191425,1
95236,0
18771,0
209312,1
50959,0
35845,0
169306,1
162447,1
135184,1
27805,0
228151,1
72725,0
11947,0
215671,1
212680,1
222094,1
96500,0
158049,1
62843,0
128366,1
33301,0
29028,0
77151,0
37998,0
48300,0
4367,0
145931,1
214838,1
189209,1
89820,0
57428,0
217578,1
83342,0
117646,0
4059,0
168456,1
6542,0
208541,1
224565,1
2599,0
194709,1
196506,1
65354,0
209330,1
88404,0
36178,0
151940,1
231613,1
215313,1
78192,0
125709,0
42594,0
157821,1
184999,1
153922,1
64668,0
61667,0
77616,0
247535,1
248694,1
28229,0
14192,0
94731,0
79583,0
183942,1
22844,0
17621,0
239891,1
142870,1
27148,0
176650,1
100051,0
221623,1
160238,1
147199,1
16518,0
240470,1
200251,1
154500,1
70788,0
249497,1
67643,0
217012,1
106832,0
87064,0
90791,0
196436,1
192521,1
89156,0
109273,0
166954,1
237439,1
216519,1
146409,1
212492,1
49561,0
183266,1
112981,0
41003,0
209893,1
137397,1
71718,0
212578,1
244954,1
174516,1
156681,1
41893,0
192396,1
254949,1
145384,1
197609,1
33774,0
170847,1
9728,0
112295,0
194810,1
100730,0
50672,0
174749,1
154185,1
109092,0
149566,1
204383,1
113100,0
222546,1
119254,0
152609,1
29243,0
81322,0
225941,1
97558,0
117212,0
61261,0
113466,0
96244,0
115885,0
219515,1
176725,1
225376,1
100167,0
241767,1
204032,1
191802,1
205204,1
149037,1
164013,1
1123,0
79961,0
231081,1
87115,0
169348,1
3807,0
143765,1
248976,1
104225,0
185069,1
215114,1
91375,0
82629,0
67525,0
107285,0
233676,1
149804,1
169655,1
250012,1
152493,1
163819,1
99409,0
59441,0
15810,0
61408,0
70477,0
104283,0
199127,1
24333,0
105414,0
108773,0
78818,0
51177,0
58853,0
8709,0
57596,0
76082,0
218382,1
476,0
175282,1
105174,0
100623,0
38385,0
15094,0
254444,1
116463,0
52918,0
250649,1
171636,1
199581,1
1736,0
134397,1
98975,0
200338,1
21838,0
68306,0
65009,0
137299,1
19367,0
60420,0
70955,0
53854,0
53225,0
44256,0
2812,0
68304,0
103729,0
119078,0
68524,0
58693,0
8797,0
187104,1
241210,1
91060,0
30510,0
7748,0
165739,1
113444,0
246322,1
45735,0
72160,0
77066,0
124876,0
181805,1
81699,0
75187,0
206619,1
75031,0
14119,0
92629,0
196628,1
245133,1
28663,0
202594,1
23738,0
70197,0
95129,0
172505,1
240969,1
135297,1
94357,0
195362,1
109242,0
156333,1
238259,1
9495,0
233563,1
198453,1
241629,1
136011,1
103345,0
178444,1
181417,1
253503,1
184489,1
57491,0
196030,1
109703,0
160091,1
201878,1
142711,1
115302,0
109599,0
160656,1
44102,0
142909,1
76177,0
30825,0
146138,1
193484,1
14562,0
158141,1
149054,1
115735,0
135136,1
65417,0
85883,0
236932,1
169022,1
157716,1
35470,0
191047,1
222485,1
183120,1
161285,1
200223,1
90358,0
97484,0
89708,0
51514,0
28685,0
189425,1
2578,0
170207,1
6211,0
112757,0
126090,0
105914,0
114309,0
3542,0
120656,0
101034,0
88266,0
18222,0
71739,0
223542,1
32148,0
230571,1
121269,0
154742,1
49382,0
117145,0
179591,1
157406,1
170107,1
19298,0
134555,1
68846,0
83970,0
104169,0
207812,1
38082,0
224551,1
96552,0
230716,1
41524,0
51923,0
220777,1
82947,0
84745,0
130637,1
47167,0
79588,0
76872,0
87786,0
101809,0
223220,1
152454,1
65454,0
244307,1
147659,1
98781,0
251091,1
17204,0
185628,1
74911,0
215648,1
116277,0
59845,0
147207,1
242742,1
32723,0
46497,0
232963,1
236830,1
250898,1
22030,0
36946,0
83593,0
183652,1
194823,1
46421,0
155490,1
64136,0
150891,1
51880,0
171370,1
113525,0
4486,0
78118,0
185877,1
255492,1
226400,1
186089,1
212990,1
155618,1
230037,1
154222,1
230202,1
158597,1
212904,1
138649,1
178561,1
187688,1
46066,0
153249,1
126936,0
88015,0
186110,1
121510,0
24856,0
186000,1
26293,0
132057,1
197906,1
25020,0
84653,0
131463,1
118513,0
49244,0
31331,0
4194,0
124211,0
70263,0
212418,1
48229,0
97380,0
28117,0
187516,1
24008,0
228199,1
205990,1
19138,0
120431,0
121644,0
126423,0
57450,0
192955,1
80240,0
214831,1
119226,0
236761,1
247887,1
150929,1
53456,0
241973,1
205968,1
82563,0
138422,1
163992,1
54764,0
243626,1
145390,1
103294,0
38651,0
182750,1
108963,0
207464,1
21803,0
147091,1
143530,1
173303,1
199534,1
93437,0
237572,1
48230,0
218676,1
215433,1
255315,1
104356,0
112799,0
194148,1
227363,1
77550,0
85464,0
253536,1
253362,1
236483,1
54385,0
193870,1
82740,0
160803,1
128243,1
254459,1
154396,1
197433,1
187868,1
87418,0
140453,1
104274,0
48937,0
132794,1
203218,1
41730,0
38114,0
87826,0
56004,0
64494,0
145832,1
54610,0
12555,0
33812,0
41690,0
173774,1
195380,1
74520,0
17427,0
177791,1
188636,1
100575,0
112468,0
72769,0
60119,0
208087,1
73111,0
229880,1
156482,1
48835,0
201038,1
30804,0
89805,0
229515,1
115105,0
188373,1
17463,0
4814,0
155725,1
70222,0
144054,1
250473,1
135617,1
131806,1
83720,0
154039,1
113878,0
162659,1
225939,1
181551,1
169494,1
109819,0
70543,0
124762,0
54707,0
228152,1
99659,0
236551,1
156998,1
64963,0
31969,0
143428,1
135378,1
72630,0
21373,0
232490,1
248856,1
67442,0
35125,0
38202,0
220359,1
25124,0
196992,1
98701,0
140635,1
92802,0
248974,1
157254,1
139838,1
118116,0
185615,1
188439,1
61962,0
204413,1
241892,1
228590,1
62377,0
230123,1
229415,1
121189,0
42319,0
70040,0
103400,0
16405,0
46510,0
148315,1
22534,0
203697,1
141674,1
132766,1
174528,1
4394,0
28692,0
4212,0
41324,0
101474,0
184348,1
108020,0
18434,0
40490,0
68873,0
135730,1
45278,0
93164,0
243030,1
57265,0
128824,1
80392,0
228079,1
60792,0
85378,0
61343,0
12311,0
87814,0
106445,0
165693,1
58015,0
245816,1
146102,1
185032,1
48651,0
82879,0
235633,1
79243,0
133132,1
118557,0
105776,0
43115,0
36223,0
195123,1
217498,1
226813,1
105912,0
4908,0
54123,0
30215,0
30369,0
159074,1
244600,1
188310,1
199066,1
230342,1
162015,1
111092,0
20637,0
64369,0
95428,0
59264,0
129865,1
138711,1
86685,0
125340,0
244930,1
179342,1
94341,0
215007,1
79686,0
4356,0
67297,0
17227,0
239655,1
18583,0
156656,1
135263,1
29476,0
108201,0
182580,1
100104,0
2251,0
44919,0
223151,1
212313,1
4197,0
147510,1
54804,0
133359,1
32935,0
192257,1
59525,0
206429,1
43550,0
161904,1
98720,0
46144,0
237530,1
109839,0
177627,1
22217,0
18167,0
100936,0
88506,0
65003,0
202840,1
117500,0
173656,1
198204,1
123750,0
137923,1
250382,1
215231,1
251485,1
34756,0
146189,1
234172,1
95242,0
149931,1
28764,0
209426,1
153230,1
26623,0
220978,1
67644,0
142542,1
21675,0
2396,0
189699,1
100897,0
7074,0
35033,0
124611,0
204952,1
2410,0
72343,0
27991,0
9554,0
226667,1
74414,0
121674,0
37309,0
168600,1
127733,0
172735,1
215872,1
187741,1
45440,0
40106,0
206032,1
211632,1
138608,1
233483,1
37004,0
244943,1
225823,1
92489,0
243710,1
110582,0
93026,0
151046,1
57282,0
92014,0
66597,0
213811,1
226152,1
30922,0
255598,1
106123,0
246411,1
15585,0
157392,1
93813,0
51640,0
179409,1
218675,1
64178,0
134578,1
32529,0
185901,1
166046,1
144728,1
113067,0
187047,1
166457,1
11032,0
218550,1
208747,1
191838,1
20263,0
251686,1
124183,0
105635,0
172949,1
90176,0
248594,1
115339,0
253583,1
142325,1
124154,0
39750,0
159187,1
173895,1
227338,1
165007,1
213545,1
169469,1
171225,1
28726,0
101597,0
167255,1
234724,1
120608,0
3332,0
229454,1
54480,0
117648,0
148896,1
196126,1
245148,1
147901,1
251448,1
84401,0
249656,1
132620,1
144804,1
203893,1
77963,0
87956,0
152462,1
95530,0
205223,1
105681,0
165984,1
124064,0
195732,1
59178,0
111185,0
152867,1
220965,1
149059,1
130815,1
37757,0
152604,1
45900,0
191226,1
199925,1
248167,1
156498,1
55109,0
56438,0
90708,0
254751,1
192906,1
204686,1
209847,1
190809,1
227830,1
102492,0
233251,1
11964,0
81661,0
81220,0
109192,0
32638,0
193359,1
29396,0
224967,1
15987,0
172569,1
136738,1
24830,0
201371,1
12006,0
196631,1
34697,0
47762,0
185709,1
227088,1
73976,0
46387,0
23296,0
186874,1
56801,0
234853,1
101513,0
449,0
14638,0
16968,0
131955,1
138929,1
179287,1
110323,0
124404,0
127069,0
36263,0
66416,0
247978,1
239239,1
174443,1
172764,1
162870,1
58522,0
11186,0
139216,1
119541,0
220589,1
237578,1
88296,0
73577,0
172777,1
194486,1
56738,0
225869,1
254676,1
205961,1
184784,1
46253,0
184222,1
128323,1
25850,0
41660,0
150356,1
253719,1
172487,1
102235,0
137223,1
18336,0
80039,0
118305,0
2821,0
104455,0
97732,0
105242,0
18024,0
190725,1
169005,1
197097,1
239994,1
41857,0
24015,0
14723,0
196081,1
107116,0
51841,0
137674,1
249327,1
138518,1
184232,1
75886,0
79469,0
95370,0
16233,0
222066,1
236338,1
241541,1
118769,0
24931,0
82100,0
226068,1
138560,1
98877,0
155245,1
107967,0
236108,1
51248,0
87340,0
152051,1
15487,0
124780,0
176759,1
157123,1
253082,1
218743,1
88113,0
199573,1
236388,1
56954,0
222716,1
241125,1
161475,1
6896,0
145813,1
50464,0
134365,1
15668,0
7243,0
174511,1
110293,0
67174,0
49066,0
185275,1
65592,0
110330,0
157082,1
120432,0
26005,0
137637,1
244917,1
211645,1
19740,0
37338,0
218768,1
161574,1
34178,0
29862,0
120103,0
81344,0
56111,0
46546,0
35319,0
99761,0
141191,1
148892,1
62030,0
59810,0
53475,0
67342,0
92830,0
187053,1
176618,1
70905,0
65978,0
3460,0
96077,0
92170,0
21485,0
160169,1
172910,1
86884,0
252130,1
232093,1
213162,1
38758,0
87964,0
205657,1
206980,1
39530,0
5300,0
40820,0
104807,0
198436,1
184671,1
78821,0
50476,0
15159,0
54075,0
205211,1
113123,0
226529,1
115736,0
93310,0
174611,1
146652,1
21808,0
237787,1
159517,1
112701,0
219464,1
32812,0
22306,0
231033,1
107438,0
199747,1
27696,0
8493,0
177665,1
203810,1
29,0
139345,1
107546,0
160471,1
221126,1
188269,1
190178,1
90875,0
120856,0
31800,0
30691,0
29798,0
193937,1
78772,0
98235,0
91430,0
181322,1
55353,0
247680,1
2232,0
146870,1
84938,0
16690,0
165193,1
121973,0
191461,1
125321,0
203144,1
224183,1
64382,0
213098,1
180749,1
105979,0
121722,0
104204,0
117361,0
221575,1
81951,0
243434,1
22661,0
231934,1
110888,0
138823,1
113766,0
247095,1
240415,1
9562,0
91402,0
15628,0
138811,1
35621,0
227700,1
153810,1
200457,1
19599,0
67505,0
214623,1
60665,0
2397,0
5529,0
232462,1
251037,1
96527,0
83677,0
9464,0
242975,1
234650,1
233023,1
43789,0
165811,1
72565,0
44535,0
224906,1
208546,1
249424,1
223807,1
129628,1
677,0
218696,1
52328,0
209536,1
85007,0
20373,0
61554,0
168564,1
102194,0
70453,0
190445,1
25791,0
21240,0
185079,1
220523,1
84466,0
139487,1
64967,0
247777,1
208837,1
155939,1
55077,0
100938,0
230600,1
55076,0
164312,1
203268,1
79979,0
35636,0
201941,1
123965,0
82668,0
90062,0
251638,1
175050,1
22942,0
243271,1
157273,1
210014,1
213388,1
94741,0
100644,0
58119,0
222346,1
205472,1
101264,0
9763,0
19545,0
143738,1
216091,1
158984,1
168597,1
210360,1
224572,1
195814,1
32326,0
102401,0
186395,1
83446,0
60140,0
136658,1
94948,0
187540,1
146803,1
80726,0
115208,0
55066,0
232289,1
97834,0
57093,0
190307,1
193641,1
81059,0
1114,0
113643,0
135126,1
212879,1
75393,0
192614,1
7047,0
90538,0
178462,1
80153,0
15296,0
133375,1
130548,1
107094,0
109364,0
56528,0
29451,0
74632,0
150090,1
13379,0
86130,0
138890,1
53676,0
175376,1
188032,1
104292,0
103145,0
11499,0
98530,0
43900,0
183607,1
172070,1
154542,1
59703,0
150102,1
24142,0
37718,0
91306,0
71900,0
120946,0
23631,0
220509,1
112340,0
215555,1
16456,0
249071,1
62929,0
207336,1
238882,1
100876,0
37463,0
7220,0
66650,0
235537,1
156660,1
67233,0
52051,0
118773,0
133142,1
98558,0
348,0
40594,0
93241,0
196835,1
145459,1
110987,0
219348,1
115298,0
87358,0
94179,0
5724,0
166051,1
74321,0
95379,0
210839,1
94560,0
141111,1
102425,0
110395,0
243010,1
146185,1
52755,0
51051,0
51730,0
157894,1
137392,1
143718,1
226232,1
89019,0
208658,1
51799,0
112002,0
238180,1
236511,1
28440,0
232346,1
187836,1
57452,0
208281,1
43233,0
160191,1
239682,1
203751,1
5113,0
83036,0
53756,0
161533,1
68555,0
98657,0
178545,1
207576,1
102089,0
89842,0
133297,1
124971,0
110830,0
8396,0
54958,0
74978,0
15800,0
54867,0
101160,0
174503,1
54242,0
26296,0
39369,0
116711,0
181806,1
112478,0
22622,0
136162,1
38188,0
174705,1
97745,0
49885,0
151782,1
245298,1
5065,0
252552,1
184789,1
98667,0
50347,0
202647,1
100443,0
12018,0
108878,0
36752,0
93452,0
7195,0
192887,1
53804,0
132783,1
189339,1
220829,1
74767,0
232335,1
4257,0
87801,0
194983,1
29597,0
30379,0
141418,1
30364,0
11309,0
184085,1
206825,1
112019,0
108730,0
146871,1
55604,0
166054,1
34109,0
254194,1
86940,0
130771,1
157820,1
97859,0
23460,0
46373,0
152025,1
230445,1
200392,1
106038,0
218298,1
212936,1
66471,0
44369,0
195777,1
160746,1
194040,1
215161,1
106322,0
32087,0
125462,0
158649,1
32630,0
69189,0
106699,0
3737,0
14352,0
59245,0
248588,1
255013,1
194094,1
250288,1
211751,1
172808,1
10428,0
47478,0
183866,1
178923,1
166062,1
8786,0
61178,0
183321,1
183265,1
171832,1
6608,0
20560,0
166018,1
89926,0
245009,1
129227,1
244018,1
198587,1
88867,0
148933,1
227435,1
16815,0
129421,1
198385,1
246699,1
69594,0
205683,1
187085,1
73656,0
44637,0
108716,0
268,0
164211,1
146341,1
239565,1
127494,0
139182,1
33626,0
184670,1
179058,1
24582,0
27508,0
51197,0
43088,0
148036,1
85847,0
152397,1
165597,1
241140,1
14924,0
175874,1
245710,1
128367,1
22286,0
140937,1
39897,0
75812,0
103435,0
194116,1
81172,0
148085,1
109780,0
174797,1
185641,1
206511,1
166641,1
229333,1
212833,1
141036,1
21608,0
143308,1
171532,1
232390,1
103619,0
206025,1
106781,0
247038,1
186070,1
104351,0
13582,0
64055,0
4912,0
97661,0
193995,1
68867,0
1071,0
87122,0
38695,0
97165,0
187102,1
253080,1
239606,1
120029,0
244162,1
2387,0
220749,1
187929,1
152495,1
171417,1
254826,1
40813,0
20815,0
88768,0
138515,1
117334,0
107865,0
41790,0
9672,0
144973,1
36541,0
144259,1
27402,0
254597,1
13214,0
21527,0
55896,0
136414,1
71553,0
38750,0
200112,1
87525,0
78855,0
143338,1
221029,1
19746,0
86220,0
35043,0
148167,1
186668,1
132711,1
207030,1
164090,1
248780,1
39588,0
102195,0
99826,0
201242,1
7329,0
134996,1
241059,1
223964,1
105625,0
142595,1
207927,1
13825,0
41396,0
20350,0
78259,0
27067,0
201138,1
150621,1
151081,1
108362,0
84107,0
151596,1
215071,1
155927,1
31087,0
254898,1
240277,1
192334,1
63054,0
38683,0
187060,1
211691,1
95231,0
80819,0
194351,1
38642,0
254223,1
8235,0
221971,1
36552,0
140547,1
271,0
76476,0
177578,1
18596,0
211325,1
173420,1
178782,1
118236,0
83450,0
73717,0
114070,0
239629,1
197254,1
8789,0
102158,0
207650,1
129388,1
119586,0
244209,1
25160,0
100258,0
234107,1
152549,1
183067,1
64343,0
15731,0
88859,0
204549,1
233787,1
34684,0
152037,1
199254,1
3727,0
190023,1
93305,0
224529,1
33658,0
238398,1
121459,0
248469,1
187007,1
93346,0
41522,0
168118,1
52485,0
4994,0
15824,0
51116,0
61809,0
96945,0
147378,1
149302,1
123031,0
60743,0
118552,0
34225,0
188586,1
216726,1
222015,1
64540,0
207119,1
204334,1
70681,0
46832,0
32002,0
30070,0
15954,0
194115,1
174807,1
245714,1
24406,0
164755,1
158702,1
227748,1
194090,1
3477,0
109334,0
17189,0
218713,1
25689,0
179529,1
253982,1
212031,1
50676,0
84097,0
230397,1
83905,0
155331,1
145032,1
242147,1
54822,0
93856,0
251234,1
113382,0
110634,0
179971,1
115072,0
193439,1
144306,1
120904,0
190069,1
26058,0
77103,0
109414,0
214918,1
80984,0
187099,1
53032,0
9767,0
178792,1
10340,0
35614,0
98879,0
74454,0
185043,1
211446,1
171742,1
231386,1
90294,0
137140,1
58606,0
117335,0
35631,0
10985,0
143201,1
121595,0
98566,0
108733,0
210911,1
133736,1
5881,0
134178,1
51255,0
41775,0
2921,0
65439,0
209279,1
221777,1
236546,1
111998,0
61911,0
195006,1
2931,0
100161,0
126860,0
41848,0
82449,0
79598,0
224662,1
200575,1
137639,1
25994,0
9777,0
145027,1
58423,0
196203,1
53830,0
226417,1
146372,1
186534,1
160093,1
115931,0
194280,1
138715,1
119553,0
133976,1
97025,0
126007,0
113576,0
184325,1
73756,0
99470,0
58042,0
178072,1
38168,0
224711,1
143602,1
32874,0
225741,1
152879,1
160013,1
26748,0
14856,0
246759,1
84254,0
104145,0
28555,0
214952,1
251101,1
18566,0
191147,1
23606,0
236465,1
34119,0
189057,1
250047,1
92010,0
121225,0
247903,1
173257,1
53915,0
8401,0
22819,0
178086,1
151786,1
230509,1
159311,1
190465,1
122407,0
158321,1
180421,1
126617,0
58959,0
154115,1
201837,1
36548,0
201346,1
115499,0
135069,1
141979,1
122472,0
175280,1
185790,1
120267,0
179781,1
48298,0
136297,1
82061,0
117026,0
32644,0
150074,1
114087,0
4490,0
186618,1
22616,0
27646,0
127276,0
20880,0
176896,1
119635,0
228914,1
125859,0
214510,1
39021,0
111387,0
19757,0
203784,1
172934,1
39264,0
204830,1
36365,0
187896,1
134802,1
12803,0
245713,1
184137,1
194373,1
49245,0
61824,0
58621,0
218850,1
188182,1
129648,1
163245,1
189004,1
6364,0
14919,0
42462,0
153447,1
187184,1
36747,0
230726,1
248905,1
142463,1
13769,0
72666,0
213758,1
109081,0
121574,0
19278,0
138543,1
107085,0
15873,0
241783,1
40408,0
71708,0
98677,0
221671,1
36483,0
103502,0
132238,1
226678,1
148910,1
162361,1
228430,1
237298,1
106946,0
41151,0
41702,0
52237,0
179327,1
105355,0
61696,0
213,0
38876,0
930,0
210897,1
23930,0
70306,0
9420,0
246637,1
141733,1
189514,1
117041,0
123491,0
224380,1
